Step,Body,PosX,PosY,VelX,VelY
0,0,0,0,0,0
0,1,0.72,0.000234091,-0.0114403,35.02
0,2,1,0.000199064,-0.00593114,29.78
0,3,5.2,8.73663e-05,-0.000219367,13.07
0,4,19.22,4.54545e-05,-1.60861e-05,6.8
1000,0,0,0,0,0
1000,1,0.682021,0.23019,-11.2525,33.1722
1000,2,0.980203,0.197947,-5.89789,29.1904
1000,3,5.19927,0.0874496,-0.219576,13.0682
1000,4,19.2199,0.0455,-0.0161022,6.79998
2000,0,0,0,0,0
2000,1,0.572182,0.435884,-21.323,27.8229
2000,2,0.92167,0.387871,-11.5571,27.4472
2000,3,5.19706,0.174787,-0.43887,13.0626
2000,4,19.2198,0.0909542,-0.0321882,6.79992
3000,0,0,0,0,0
3000,1,0.401933,0.595541,-29.1663,19.5162
3000,2,0.826714,0.562467,-16.7601,24.619
3000,3,5.1934,0.262075,-0.658039,13.0534
3000,4,19.2195,0.136408,-0.048274,6.79983
4000,0,0,0,0,0
4000,1,0.189114,0.692092,-33.943,9.10606
4000,2,0.699081,0.714829,-21.3015,20.817
4000,3,5.18827,0.34929,-0.877023,13.0405
4000,4,19.2191,0.181861,-0.0643595,6.7997
5000,0,0,0,0,0
5000,1,-0.0438048,0.715003,-35.1213,-2.32139
5000,2,0.543812,0.838931,-25.0016,16.1911
5000,3,5.18167,0.436406,-1.09576,13.0239
5000,4,19.2187,0.227313,-0.0804447,6.79953
6000,0,0,0,0,0
6000,1,-0.27202,0.661493,-32.5426,-13.553
6000,2,0.36704,0.929857,-27.7138,10.9237
6000,3,5.17362,0.523398,-1.31418,13.0037
6000,4,19.2181,0.272764,-0.0965293,6.79932
7000,0,0,0,0,0
7000,1,-0.47101,0.536965,-26.4514,-23.3748
7000,2,0.175751,0.984002,-29.3304,5.22259
7000,3,5.16411,0.610244,-1.53224,12.9798
7000,4,19.2174,0.318213,-0.112613,6.79907
8000,0,0,0,0,0
8000,1,-0.619211,0.354561,-17.4825,-30.7076
8000,2,-0.02249,0.999212,-29.7869,-0.686981
8000,3,5.15314,0.696917,-1.74986,12.9522
8000,4,19.2166,0.36366,-0.128697,6.79879
9000,0,0,0,0,0
9000,1,-0.700453,0.133829,-6.60001,-34.7344
9000,2,-0.219839,0.974874,-29.0643,-6.57129
9000,3,5.14071,0.783393,-1.96698,12.921
9000,4,19.2156,0.409106,-0.144779,6.79847
10000,0,0,0,0,0
10000,1,-0.705824,-0.101395,5.00813,-35.002
10000,2,-0.408482,0.911937,-27.1906,-12.1973
10000,3,5.12684,0.869649,-2.18355,12.8861
10000,4,19.2146,0.454549,-0.160861,6.79811
11000,0,0,0,0,0
11000,1,-0.634726,-0.325635,16.0677,-31.4795
11000,2,-0.580945,0.812882,-24.2392,-17.342
11000,3,5.11152,0.95566,-2.3995,12.8476
11000,4,19.2135,0.499989,-0.176942,6.79771
12000,0,0,0,0,0
12000,1,-0.494948,-0.514651,25.3688,-24.5622
12000,2,-0.73039,0.681621,-20.3264,-21.8011
12000,3,5.09476,1.0414,-2.61477,12.8055
12000,4,19.2123,0.545427,-0.193022,6.79727
13000,0,0,0,0,0
13000,1,-0.301751,-0.648141,31.9073,-15.0216
13000,2,-0.850889,0.523348,-15.6069,-25.3973
